path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.036388554,b,m,b,m,m,m,b,m,b,m,b,m,b,m,a,a,m,b,a,a,a,a,m,b,b,a,b,m,b,1
0.0,b,a,m,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,b,b,b,b,1
0.04788202,b,m,b,a,m,a,b,m,b,a,b,m,b,m,m,a,m,m,a,a,b,a,a,b,b,a,b,b,m,1
0.019232312,b,a,b,a,a,a,a,m,a,a,b,a,b,b,m,a,m,b,a,a,a,a,a,m,b,a,b,b,b,1
0.03981778,b,a,m,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.0,b,a,b,a,a,a,a,m,a,a,b,m,b,b,m,a,m,m,a,a,a,a,a,b,b,a,b,b,b,1
0.00823345,b,m,b,m,a,a,b,b,a,a,b,b,b,b,m,a,m,b,m,a,a,a,m,a,b,a,b,a,m,1
0.0,b,b,m,b,b,m,b,m,b,b,a,b,b,m,b,b,b,m,b,b,b,a,b,a,b,b,b,m,b,1
0.16116337,b,m,b,b,m,a,m,m,m,a,m,m,b,m,a,a,b,m,a,a,a,m,m,m,b,m,m,a,m,1
0.44237113,b,a,b,m,a,m,a,b,a,a,b,a,b,b,a,a,b,b,a,m,a,a,a,a,b,b,b,b,m,1
0.42059436,m,m,b,a,m,a,b,m,m,a,m,m,b,m,a,a,m,m,a,m,m,a,m,b,b,a,b,m,m,1
0.0,b,b,m,b,b,m,b,m,a,b,m,b,b,a,m,a,b,m,b,b,b,m,b,m,b,b,b,m,b,1
0.12472077,b,b,b,m,b,m,b,m,b,m,b,m,b,m,a,b,m,m,b,b,m,m,m,b,b,m,b,b,m,1
0.4070559,b,m,b,b,m,a,m,m,a,a,m,b,b,m,a,a,m,m,a,a,a,m,m,m,b,m,m,a,b,1
1.2264555,m,b,a,b,m,m,b,m,m,m,m,b,m,m,a,b,b,m,b,b,a,m,m,b,b,b,b,b,b,1
0.47067946,b,a,b,a,a,m,a,b,a,a,b,a,b,b,m,a,b,m,a,b,a,a,a,a,b,a,b,b,b,1
0.7061191,b,a,b,a,a,a,a,m,a,a,b,a,b,m,m,a,m,m,a,m,a,a,a,a,b,a,b,b,b,1
0.0,b,a,m,a,a,a,a,b,a,a,b,m,b,b,m,a,m,b,a,a,a,a,a,a,b,a,b,m,b,1
0.023902552,b,m,b,m,m,m,b,m,b,m,b,m,b,m,a,a,m,b,m,m,a,a,m,b,b,a,b,m,b,1
0.032491647,b,m,m,a,a,a,a,m,a,a,b,m,b,b,a,a,m,b,a,a,a,a,a,m,m,a,b,b,m,1
0.0,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,m,m,b,a,a,a,a,a,a,b,a,b,b,b,1
0.38606814,b,m,b,a,m,a,b,m,b,m,m,m,b,m,a,a,m,m,a,m,m,a,m,b,b,a,b,m,m,1
0.0,b,b,m,b,b,m,b,m,m,b,a,b,b,a,m,m,b,a,b,b,b,m,b,m,b,b,b,m,b,1
0.0,m,b,m,b,b,m,b,m,m,b,m,b,b,b,m,b,b,m,b,b,b,m,m,m,b,b,b,m,b,1
0.028220322,b,b,b,m,b,m,b,m,b,m,b,m,b,m,a,m,m,m,b,m,m,m,a,b,b,a,m,m,m,1
0.022725748,b,a,m,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.18649031,b,m,b,b,a,a,m,b,m,a,m,a,b,b,a,a,m,b,a,m,a,a,m,a,b,a,b,a,b,1
0.08586484,b,a,m,a,a,a,a,b,a,a,b,a,b,m,m,a,b,m,a,b,a,a,m,a,b,b,b,b,m,1
