path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
1.0154461,m,m,a,a,b,b,b,m,b,m,m,b,m,a,a,m,m,m,m,a,b,m,a,m,m,m,m,b,m,0
0.582052,b,b,a,a,b,b,a,a,b,a,m,b,a,a,a,m,m,a,m,m,b,a,b,m,a,m,m,b,m,0
0.19625407,m,b,b,b,b,b,b,m,b,a,b,b,a,a,m,m,b,m,b,a,b,b,b,b,a,m,m,b,m,0
0.36460397,b,b,m,m,b,b,m,a,b,a,b,m,m,a,a,b,a,b,m,a,b,a,b,a,a,m,m,b,m,0
0.5377953,b,b,m,b,b,b,m,a,b,m,m,m,a,a,a,m,a,m,b,a,b,m,b,a,a,m,a,b,m,0
0.5873745,m,m,a,a,b,b,a,a,b,m,a,b,m,m,m,m,m,a,m,b,m,m,b,b,a,m,b,b,m,0
0.6774631,b,b,a,m,b,m,a,a,b,a,m,b,a,a,a,m,m,m,b,m,b,a,b,a,a,m,b,b,m,0
0.5587889,b,b,a,m,m,m,a,b,b,a,m,b,m,a,a,m,m,a,b,a,b,m,b,m,a,m,m,b,m,0
0.3281591,m,b,b,b,b,b,a,a,b,a,b,b,a,a,a,m,b,a,b,m,b,m,b,a,a,m,m,b,m,0
0.7014056,m,m,a,b,b,b,m,m,b,m,m,b,m,a,m,m,m,a,m,m,b,m,a,a,a,m,b,b,m,0
0.21835122,b,b,a,b,b,m,b,m,b,m,b,b,m,a,m,m,b,b,b,a,b,b,b,a,a,m,m,b,m,0
0.5379901,m,b,a,b,b,m,m,a,b,a,m,b,m,m,a,m,b,b,b,a,a,b,b,a,a,m,m,b,a,0
0.58996296,b,m,a,b,m,b,a,m,m,a,b,b,a,a,a,m,a,a,b,m,b,m,a,a,a,m,b,b,b,0
0.7772047,m,b,m,m,b,m,m,a,b,a,m,b,a,m,a,m,b,m,b,b,m,m,b,a,m,m,b,b,m,0
0.57944584,b,m,a,b,m,m,m,m,b,a,m,b,a,a,a,m,m,m,m,b,b,m,b,a,a,m,b,b,m,0
1.0124491,b,m,m,m,m,b,b,m,b,m,a,b,m,a,a,m,a,b,m,a,b,b,a,a,m,m,b,a,b,0
0.42256215,b,b,m,m,b,m,a,a,b,a,m,b,m,a,a,m,m,m,m,m,b,a,b,a,a,m,m,b,m,0
0.10534352,m,b,b,b,m,b,b,a,b,m,m,b,a,a,m,b,m,m,b,a,b,m,b,b,m,m,m,b,m,0
1.0347365,m,a,b,m,b,b,b,b,b,m,m,b,m,a,m,m,m,b,m,a,b,b,b,b,m,m,b,b,m,0
0.5411107,m,b,a,b,b,m,a,a,b,a,m,b,m,m,a,m,b,m,b,m,b,m,b,b,a,m,m,b,m,0
0.1991855,m,b,m,b,m,m,b,a,b,m,b,b,m,a,m,m,b,m,b,a,b,m,b,b,a,m,b,b,b,0
0.66886675,m,m,m,a,b,b,a,m,b,m,m,b,m,b,a,b,b,m,b,b,a,b,b,a,m,m,m,b,b,0
0.44930038,m,b,m,m,b,b,m,a,b,a,m,b,a,a,m,m,b,m,b,m,b,m,b,b,a,m,b,b,b,0
0.22694652,b,b,m,b,m,b,b,b,b,m,m,b,a,a,m,b,b,m,b,a,b,b,b,b,m,m,m,b,b,0
0.7814001,b,b,m,a,b,b,m,a,b,m,m,b,a,a,a,b,m,m,m,m,b,m,b,b,a,m,a,b,m,0
0.4874494,b,b,a,b,b,m,m,a,b,m,m,b,m,m,a,m,b,b,b,m,b,m,b,m,a,m,m,b,m,0
0.8599032,m,b,b,b,b,b,b,m,b,a,b,a,a,m,a,b,b,m,m,a,b,m,b,a,m,m,m,b,m,0
0.83338726,b,m,m,a,m,m,b,b,b,a,a,b,a,a,m,m,m,b,b,a,m,m,b,b,m,m,m,a,m,0
0.41952726,m,b,m,b,b,b,b,a,b,m,m,b,a,m,m,b,m,m,b,b,m,m,b,a,m,m,m,m,m,0
0.25116858,m,m,a,b,b,b,b,a,b,b,b,b,m,m,m,b,m,m,b,a,b,b,b,b,m,m,b,b,m,0
0.6677543,b,b,a,b,b,b,b,a,b,m,m,b,a,a,a,b,m,m,b,b,b,m,a,a,a,m,m,m,m,0
0.6973801,m,a,m,a,b,m,m,a,b,a,a,b,a,m,a,m,m,m,b,m,a,a,b,a,a,m,m,b,b,0
0.31192106,m,b,a,b,b,m,a,a,b,a,b,b,a,a,m,m,b,b,m,m,b,m,b,b,a,m,b,b,m,0
0.24581732,b,a,a,b,b,b,b,a,b,m,b,b,m,a,a,m,m,m,b,a,b,b,b,a,m,m,m,b,m,0
0.47982034,m,b,m,b,b,b,m,a,b,m,m,b,m,a,m,m,m,m,b,b,m,m,b,a,m,m,b,m,m,0
0.9707402,m,b,m,b,b,m,a,a,b,a,m,b,m,m,m,m,b,b,m,b,b,a,b,b,a,m,m,b,m,0
0.96581656,m,a,b,m,b,b,b,b,b,m,m,b,m,m,m,m,b,b,m,a,b,b,b,b,m,m,m,b,b,0
0.76302195,m,b,a,b,b,m,m,a,b,a,m,b,m,m,m,m,b,b,m,b,b,b,b,b,a,m,b,b,m,0
0.37010792,m,b,m,b,b,b,m,a,b,m,b,b,a,a,a,b,m,m,b,a,b,m,b,a,m,m,m,b,b,0
1.1762428,m,b,b,a,b,b,b,b,b,b,a,b,a,a,m,b,b,m,m,m,a,b,b,a,m,m,m,b,m,0
0.7821025,m,m,a,a,m,m,a,b,b,a,a,b,a,a,a,m,m,m,b,a,m,m,b,a,a,m,b,b,m,0
0.4969026,a,m,m,b,m,b,b,b,b,m,b,b,m,a,m,b,m,m,b,a,b,b,b,b,m,m,m,b,b,0
0.63007146,b,b,a,b,b,m,b,a,b,a,b,m,a,a,a,m,m,m,b,a,b,m,b,a,m,m,m,m,m,0
0.5255094,m,b,m,b,b,b,a,a,b,a,m,b,a,a,m,m,b,m,m,b,m,a,b,b,a,m,b,b,b,0
0.0991602,b,m,a,b,m,b,b,m,b,m,b,b,m,a,m,m,m,m,b,a,b,m,b,b,m,m,m,b,m,0
