path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
-0.1950526,b,b,b,b,b,a,b,a,b,a,a,a,m,b,a,a,b,b,a,m,a,b,a,m,a,b,a,m,a,1
-0.16385809,b,b,b,b,b,a,m,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,m,a,b,a,a,a,1
-0.06778562,b,m,b,b,b,a,b,a,b,a,a,a,m,b,a,a,b,b,a,m,a,m,a,m,a,b,a,m,a,1
-0.17592654,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
-0.12983741,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
-0.0371064,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
0.025946029,b,b,b,b,b,a,b,b,b,a,a,a,b,b,a,a,b,b,m,m,a,b,a,m,a,b,a,a,a,1
0.34705594,b,b,b,b,b,a,m,m,m,a,a,m,m,b,b,a,b,b,b,b,a,b,m,m,b,b,b,m,m,1
-0.15949208,m,b,b,b,m,b,b,a,b,a,a,a,m,m,b,m,b,b,b,b,a,b,a,a,m,m,m,m,a,1
-0.14102075,b,b,b,m,b,m,b,a,b,a,a,m,b,b,a,a,b,b,a,b,a,b,m,a,a,b,a,m,b,1
-0.029376818,b,b,b,b,b,a,b,a,b,a,a,a,m,b,m,a,b,b,a,m,a,m,a,a,a,b,a,a,a,1
0.0153244585,b,b,b,b,b,a,m,a,b,a,a,m,m,b,b,a,m,b,m,b,m,b,b,m,b,b,b,m,a,1
0.20217998,b,b,b,b,b,a,b,m,b,a,a,a,m,b,a,a,b,m,a,m,a,b,a,m,a,b,a,m,a,1
-0.17241077,m,b,b,b,m,b,b,a,b,a,a,a,m,m,b,m,b,b,b,m,a,b,a,a,a,m,m,b,a,1
0.21402183,b,m,b,b,b,b,b,b,b,a,a,m,m,m,m,a,b,m,b,b,m,b,b,m,a,b,m,b,a,1
-0.120933376,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
-0.17157371,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
-0.088821635,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
-0.19391486,b,b,b,b,b,a,b,a,b,a,a,a,m,b,a,a,b,b,a,m,a,b,a,m,a,b,a,m,a,1
-0.13614154,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
-0.1343544,b,b,b,b,b,a,b,a,b,a,m,m,b,b,a,a,b,b,m,b,a,b,a,a,m,b,a,a,m,1
-0.0015850852,b,b,m,b,b,a,b,a,b,a,a,a,m,b,m,a,b,b,a,m,a,m,a,m,a,b,a,a,a,1
-0.059090436,b,b,b,b,b,a,m,a,b,a,a,m,b,b,b,a,m,b,b,b,m,b,b,m,b,b,b,m,m,1
0.40826985,b,b,b,b,b,m,m,m,b,a,a,m,m,m,b,a,a,b,m,b,m,b,b,b,b,b,b,b,a,1
0.36601204,b,b,b,b,b,m,b,m,b,m,a,a,m,b,a,a,b,b,a,m,a,b,a,m,a,b,a,b,a,1
-0.12038305,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
0.03150655,b,b,b,b,b,a,b,m,b,a,m,a,b,b,b,a,b,b,m,b,a,b,a,a,m,m,a,m,a,1
-0.14666902,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,m,b,a,b,m,a,a,b,a,a,a,1
